Total files: 1801
Champions count: 42
362 364 1081 723 370 372 1629 736 746 568 34 574 1471 399 50 55 64 606 428 1146 1506 1331 264 85 90 281 284 1005 1726 654 836 1017 664 669 1747 673 315 863 1598 1602 1605 1431
Number of clusters 41
Cluster 281 Count: 3
Cluster 836 Count: 10
Cluster 284 Count: 178
Cluster 568 Count: 71
Cluster 574 Count: 21
Cluster 863 Count: 2
Cluster 34 Count: 3
Cluster 1146 Count: 53
Cluster 315 Count: 185
Cluster 1431 Count: 17
Cluster 50 Count: 4
Cluster 606 Count: 24
Cluster 55 Count: 11
Cluster 1726 Count: 130
Cluster 64 Count: 49
Cluster 1747 Count: 8
Cluster 362 Count: 51
Cluster 85 Count: 7
Cluster 1471 Count: 426
Cluster 364 Count: 3
Cluster 90 Count: 2
Cluster 370 Count: 88
Cluster 372 Count: 100
Cluster 654 Count: 7
Cluster 664 Count: 1
Cluster 669 Count: 52
Cluster 1506 Count: 15
Cluster 399 Count: 11
Cluster 428 Count: 1
Cluster 723 Count: 23
Cluster 1005 Count: 1
Cluster 736 Count: 57
Cluster 1017 Count: 6
Cluster 746 Count: 21
Cluster 1598 Count: 13
Cluster 1602 Count: 6
Cluster 1605 Count: 4
Cluster 1331 Count: 4
Cluster 1629 Count: 23
Cluster 1081 Count: 22
Cluster 264 Count: 46
